longitude,latitude,duration,distance,index,color
51.35339999999999,-0.349,169,25.373066053835203,6.660606157782623,"1, 0.98, 0.98"
51.35339999999999,-0.32899999999999996,154,24.40148156196865,6.3110922018775835,"1, 0.98, 0.98"
51.35339999999999,-0.309,110,23.472130812804213,4.686408783134176,"1, 0.5490196078431373,0.5490196078431373"
51.35339999999999,-0.289,154,22.590226906991347,6.817107266520605,"1, 0.98, 0.98"
51.35339999999999,-0.269,143,21.761539143476405,6.5712263759095375,"1, 0.98, 0.98"
51.35339999999999,-0.249,139,20.99237076135532,6.621453173639822,"1, 0.98, 0.98"
51.35339999999999,-0.22899999999999998,109,20.28949203470908,5.372238980332012,"1, 0.7450980392156863,0.7450980392156863"
51.35339999999999,-0.20899999999999996,97,19.66001420618509,4.933872324948959,"1, 0.6274509803921569,0.6274509803921569"
51.35339999999999,-0.189,87,19.111191661904112,4.552306394029011,"1, 0.5098039215686274,0.5098039215686274"
51.35339999999999,-0.16899999999999998,90,18.65014619415784,4.825699437583632,"1, 0.5882352941176471,0.5882352941176471"
51.35339999999999,-0.14899999999999997,110,18.283519323713048,6.016347184173348,"1, 0.9019607843137255,0.9019607843137255"
51.35339999999999,-0.129,83,18.0170759319606,4.606740867021923,"1, 0.5490196078431373,0.5490196078431373"
51.35339999999999,-0.10899999999999999,112,17.855301526895072,6.2726468008001275,"1, 0.98, 0.98"
51.35339999999999,-0.08899999999999997,113,17.80105001756168,6.347940143335338,"1, 0.98, 0.98"
51.35339999999999,-0.069,66,17.855301526895072,3.6963811504715034,"1, 0.27450980392156865,0.27450980392156865"
51.35339999999999,-0.04899999999999999,77,18.0170759319606,4.273723454948049,"1, 0.43137254901960786,0.43137254901960786"
51.35339999999999,-0.02899999999999997,77,18.283519323713048,4.211443028921344,"1, 0.43137254901960786,0.43137254901960786"
51.35339999999999,-0.009000000000000008,93,18.65014619415784,4.986556085503086,"1, 0.6274509803921569,0.6274509803921569"
51.35339999999999,0.01100000000000001,121,19.111191661904112,6.331368662959888,"1, 0.98, 0.98"
51.35339999999999,0.031000000000000028,128,19.66001420618509,6.510676882406875,"1, 0.98, 0.98"
51.35339999999999,0.051000000000000045,149,20.28949203470908,7.343702826325411,"1, 0.98, 0.98"
51.35339999999999,0.07100000000000006,127,20.992370761355673,6.049816928433406,"1, 0.9019607843137255,0.9019607843137255"
51.35339999999999,0.09099999999999997,112,21.761539143475698,5.146694783929315,"1, 0.6666666666666666,0.6666666666666666"
