,Station,2016,2017,2018,2019,2020,2021,2022,Average_traffic,Colors,X,Y
55,Dagenham Heathway,6043690.0,5779848.0,5763663.0,5853372.0,4552421.0,2869564.0,4453620.0,4181784.0,"0.7909108,0.7909108,1",0.147684195,51.54162741
56,Debden,2469953.0,2356317.0,2377124.0,2380050.0,1512812.0,1106863.0,1769334.0,1643214.2857142857,"0.9178392857142857,0.9178392857142857,1",0.08383781,51.64543432
57,Dollis Hill,4180094.0,4033111.0,3853604.0,4016751.0,2754026.0,1865453.0,2925221.0,2778309.4285714286,"0.8610845285714286,0.8610845285714286,1",-0.238797559,51.55190356
58,Ealing Broadway,18604788.0,15947455.0,15816781.0,16088979.0,7717377.0,6934968.0,13427062.0,10847517.42857143,"0.45762412857142853,0.45762412857142853,1",-0.301500096,51.51491303
59,Ealing Common,3177674.0,3030959.0,3035829.0,3068294.0,1610901.0,1308100.0,2017966.0,2010292.7142857143,"0.8994853642857142,0.8994853642857142,1",-0.288260381,51.51012474
60,Earl's Court,19998114.0,18918916.0,18512627.0,19127125.0,7898110.0,8396552.0,15175947.0,12575611.0,"0.37121945,0.37121945,1",-0.193545854,51.49180391
61,East Acton,4122793.0,3872967.0,3866457.0,4081695.0,2726902.0,1326939.0,2711444.0,2655200.5714285714,"0.8672399714285715,0.8672399714285715,1",-0.247513204,51.5165822
62,East Finchley,7470306.0,6953760.0,6637732.0,6866724.0,2870898.0,2809498.0,4952437.0,4441578.428571428,"0.7779210785714286,0.7779210785714286,1",-0.164738306,51.58727172
63,East Ham,14746847.0,13938124.0,13246713.0,13011044.0,8485806.0,5966757.0,9890008.0,9219778.857142856,"0.5390110571428572,0.5390110571428572,1",0.051475549,51.53892604
64,East Putney,6369310.0,5875905.0,6109009.0,6445888.0,3056532.0,3007533.0,5020735.0,4216514.571428572,"0.7891742714285714,0.7891742714285714,1",-0.211003174,51.45880475
65,Eastcote,2943186.0,2867252.0,2791569.0,2825453.0,1365559.0,1187714.0,1992221.0,1861395.4285714286,"0.9069302285714286,0.9069302285714286,1",-0.396844627,51.57649304
66,Edgware,5188838.0,5013738.0,4842434.0,4922141.0,2815355.0,2278683.0,3931713.0,3400580.5714285714,"0.8299709714285715,0.8299709714285715,1",-0.274976006,51.61362308
67,Elephant & Castle,23295457.0,20987746.0,19132578.0,19754830.0,8559895.0,7881463.0,13298222.0,12802104.857142856,"0.35989475714285724,0.35989475714285724,1",-0.100729604,51.49577705
68,Elm Park,3096321.0,3122720.0,3076370.0,3143319.0,2007136.0,1406370.0,2228052.0,2140566.714285714,"0.8929716642857143,0.8929716642857143,1",0.199180459,51.54980125
69,Embankment,26844711.0,21002144.0,20303286.0,20963697.0,4055183.0,8251813.0,15132337.0,12815494.285714285,"0.3592252857142857,0.3592252857142857,1",-0.122360216,51.5072418
70,Epping,3770408.0,3778082.0,4048867.0,4084533.0,1909072.0,1890743.0,3021978.0,2676182.1428571427,"0.8661908928571429,0.8661908928571429,1",0.113866916,51.69362461
71,Euston,43099154.0,40735345.0,39254276.0,41092380.0,8794406.0,15882123.0,27686937.0,24777923.85714286,"0,0,1",-0.133289719,51.52859626
72,Euston Square,14395409.0,13495131.0,13858401.0,14119388.0,3668927.0,5263980.0,10326061.0,8675984.0,"0.5662008000000001,0.5662008000000001,1",-0.135836141,51.52556101
73,Fairlop,1197309.0,1179427.0,1181967.0,1248117.0,687862.0,541194.0,869290.0,815408.1428571428,"0.9592295928571428,0.9592295928571428,1",0.090929226,51.59568093
74,Farringdon,15874802.0,19325838.0,25016753.0,25924012.0,5899244.0,8497573.0,30068501.0,16390274.42857143,"0.18048627857142852,0.18048627857142852,1",-0.105065254,51.52044475
75,Finchley Central,6949909.0,6859802.0,8075893.0,8485023.0,3718793.0,3523038.0,6004211.0,5238108.571428572,"0.7380945714285714,0.7380945714285714,1",-0.192447107,51.60097642
