Mode,NLC,ASC,Station,Coverage,Source,entries,entries,entries,entries,exits,exits,exits,exits,en/ex
LU,612,HNEu,Hounslow East,Station entry / exit,Gateline,"6,105","6,302","4,812","3,592","6,488","6,741","5,022","3,720","3,920,633"
LU,613,HNWu,Hounslow West,Station entry / exit,Gateline,"5,634","5,773","4,648","3,647","5,469","5,599","4,668","3,691","3,531,951"
LU,614,HPCu,Hyde Park Corner,Station entry / exit,Gateline,"6,428","7,188","6,821","5,614","6,773","7,434","6,674","5,585","4,438,810"
LU,615,ICKu,Ickenham,Station entry / exit,Gateline,"1,905","1,864","1,151",665,"1,938","1,885","1,128",697,"1,118,573"
LU,616,KENu,Kennington,Station entry / exit,Gateline,"9,056","9,608","7,373","5,072","8,450","9,068","7,323","5,255","5,508,345"
LU,617,KGNu,Kensal Green,Station entry / exit,Gateline,"4,255","4,286","2,978","1,980","3,972","3,824","2,696","2,050","2,488,061"
LU,618,OLYu,Kensington (Olympia),LU boarding / alighting,Scaled,33,40,528,537,55,71,357,374,"109,430"
LU,619,KTNu,Kentish Town,Station entry / exit,Gateline,"13,713","14,217","10,045","6,427","13,082","13,311","9,195","6,308","8,121,594"
LU,620,KETu,Kenton,Station entry / exit,Gateline,"3,206","3,159","2,024","1,362","3,151","3,055","2,038","1,409","1,889,965"
LU,621,KEWu,Kew Gardens,Station entry / exit,Gateline,"6,054","6,702","6,200","3,639","5,756","6,388","5,753","3,525","3,825,494"
LU,622,KILu,Kilburn,Station entry / exit,Gateline,"13,151","13,524","10,652","7,991","12,636","12,987","10,288","7,983","8,116,651"
LU,623,KPKu,Kilburn Park,Station entry / exit,Gateline,"5,423","5,639","4,385","3,027","5,106","5,191","4,087","2,994","3,285,734"
LU,625,KXXu,King's Cross St. Pancras,Station entry / exit,Gateline,"138,167","149,862","116,987","95,711","137,722","155,371","117,466","94,106","88,273,827"
LU,624,KBYu,Kingsbury,Station entry / exit,Gateline,"7,653","7,715","5,029","3,723","7,480","7,544","5,005","3,583","4,551,665"
LU,626,KNBu,Knightsbridge,Station entry / exit,Gateline,"24,217","28,911","31,697","22,074","23,057","26,917","28,480","19,101","16,528,117"
LU,627,LGRu,Ladbroke Grove,Station entry / exit,Gateline,"9,377","10,089","10,874","5,707","9,249","9,590","10,075","5,471","6,130,079"
LU,628,LAMu,Lambeth North,Station entry / exit,Gateline,"6,175","6,477","5,945","4,297","5,717","6,063","5,457","3,890","3,868,659"
LU,629,LANu,Lancaster Gate,Station entry / exit,Gateline,"10,455","10,452","9,108","7,893","10,081","10,317","8,776","6,975","6,628,043"
LU,630,LATu,Latimer Road,Station entry / exit,Gateline,"4,090","3,974","2,095","1,591","3,947","3,705","1,941","1,609","2,320,784"
LU,631,LSQu,Leicester Square,Station entry / exit,Gateline,"48,491","63,898","80,432","44,668","45,077","58,702","71,682","41,623","34,563,636"
LU,632,LEYu,Leyton,Station entry / exit,Gateline,"18,882","19,355","16,912","11,441","16,117","16,821","15,566","11,212","11,262,368"
LU,633,LYSu,Leytonstone,Station entry / exit,Gateline,"16,043","16,659","12,348","8,583","15,739","16,306","12,216","8,652","9,822,700"
LU,634,LSTu,Liverpool Street LU,Station entry / exit,Gateline,"111,518","116,553","68,242","43,231","117,156","119,293","71,649","46,674","67,202,755"
LU,635,LONu,London Bridge LU,Station entry / exit,Gateline,"121,129","127,157","102,082","62,397","118,095","123,019","97,649","60,826","74,343,494"
LU,636,LTNu,Loughton,Station entry / exit,Gateline,"5,787","5,754","3,981","2,228","5,839","5,977","4,278","2,360","3,473,615"
LU,637,MDVu,Maida Vale,Station entry / exit,Gateline,"5,649","5,696","4,055","2,751","5,220","5,056","3,660","2,679","3,302,961"
LU,638,MNRu,Manor House,Station entry / exit,Gateline,"13,657","14,345","11,662","8,661","13,315","13,561","10,831","8,783","8,554,567"
LU,639,MANu,Mansion House,Station entry / exit,Gateline,"12,204","11,285","3,227","2,614","13,196","12,242","3,295","2,595","6,789,496"
LU,640,MARu,Marble Arch,Station entry / exit,Gateline,"19,485","21,047","18,544","13,596","18,009","19,306","16,901","11,940","12,159,194"
LU,641,MYBu,Marylebone LU,Station entry / exit,Gateline,"19,755","19,499","15,937","11,633","21,751","21,531","16,753","11,367","12,881,989"
LU,642,MLEu,Mile End,Station entry / exit,Gateline,"24,477","26,212","17,969","13,210","24,103","25,584","17,702","14,125","14,971,042"
LU,643,MHEu,Mill Hill East,Station entry / exit,Gateline,"2,641","2,567","1,116",663,"2,382","2,216","1,075",798,"1,407,857"
LU,646,MPKu,Moor Park,Station entry / exit,Gateline,"1,725","1,702",688,359,"1,667","1,607",678,374,"932,748"
LU,645,MGTu,Moorgate,Station entry / exit,Gateline,"46,329","40,587","11,179","7,379","47,786","42,981","14,038","8,697","25,050,824"
LU,647,MORu,Morden,Station entry / exit,Gateline,"16,833","16,539","11,608","8,517","15,300","15,943","11,372","8,395","9,815,261"
LU,648,MCRu,Mornington Crescent,Station entry / exit,Gateline,"7,155","7,028","4,926","2,936","6,546","6,432","3,344","2,052","4,001,482"
LU,649,NEAu,Neasden,Station entry / exit,Gateline,"6,002","6,109","4,220","2,996","5,298","5,353","3,938","2,850","3,450,466"
LU,650,NEPu,Newbury Park,Station entry / exit,Gateline,"8,932","8,864","5,926","4,089","7,935","7,964","5,525","3,924","5,079,924"
LU,653,NACu,North Acton,Station entry / exit,Gateline,"10,641","10,567","6,568","4,621","10,362","10,292","6,653","4,686","6,241,955"
LU,654,NELu,North Ealing,Station entry / exit,Gateline,"1,450","1,416","1,089",693,"1,448","1,336",993,723,"880,333"
LU,789,NOGu,North Greenwich,Station entry / exit,Gateline,"42,973","39,587","37,990","26,543","46,137","42,274","40,846","26,934","28,280,620"
LU,656,NHRu,North Harrow,Station entry / exit,Gateline,"3,499","3,382","1,760","1,084","3,279","3,118","1,627","1,086","1,930,536"
LU,659,NWBu,North Wembley,Station entry / exit,Gateline,"2,727","2,753","1,786","1,273","2,513","2,494","1,638","1,225","1,572,051"
LU,655,NFDu,Northfields,Station entry / exit,Gateline,"6,598","6,638","4,496","3,217","6,530","6,413","4,496","3,391","3,975,886"
LU,657,NHTu,Northolt,Station entry / exit,Gateline,"8,451","8,442","5,845","3,970","8,102","7,835","5,302","3,813","4,976,954"
LU,660,NWPu,Northwick Park,Station entry / exit,Gateline,"7,749","7,275","3,735","2,571","7,579","6,876","3,440","2,642","4,357,031"
LU,661,NWDu,Northwood,Station entry / exit,Gateline,"4,807","4,705","2,543","1,593","4,783","4,600","2,372","1,592","2,743,087"
