Mode,NLC,ASC,Station,Coverage,Source,entries,,entries,entries,exits,,exits,exits,en/ex
LU,563,EACu,East Acton,Station entry / exit,Relate,"6,603",0,"4,380","3,187","6,345",0,"3,923","3,119","3,872,967"
LU,565,EFYu,East Finchley,Station entry / exit,Relate,"12,133",0,"7,616","4,980","11,528",0,"6,609","4,958","6,953,760"
LU,566,EHMu,East Ham,Station entry / exit,Relate,"23,269",0,"17,213","12,184","22,485",0,"15,768","11,628","13,938,124"
LU,567,EPYu,East Putney,Station entry / exit,Relate,"10,103",0,"6,648","4,301","9,678",0,"6,019","4,512","5,875,905"
LU,564,ETEu,Eastcote,Station entry / exit,Relate,"5,129",0,"2,931","1,654","4,848",0,"2,636","1,638","2,867,252"
LU,568,EDGu,Edgware,Station entry / exit,Relate,"8,705",0,"5,546","4,220","8,014",0,"5,309","4,051","5,013,738"
LU,774,ERBu,Edgware Road (Bak),Station entry / exit,Relate,"7,366",0,"4,885","3,158","7,464",0,"4,843","3,042","4,396,642"
LU,569,ERDu,Edgware Road (DIS),Station entry / exit,Relate,"11,970",0,"6,611","4,932","11,396",0,"6,435","4,542","6,801,573"
LU,570,ELEu,Elephant & Castle LU,Station entry / exit,Relate,"37,290",0,"23,949","17,597","32,954",0,"21,378","15,851","20,987,746"
LU,571,EPKu,Elm Park,Station entry / exit,Relate,"5,724",0,"3,184","1,801","5,138",0,"2,896","1,787","3,122,720"
LU,542,EMBu,Embankment,Station entry / exit,Relate,"34,869",0,"28,002","17,980","33,686",0,"25,955","15,578","21,002,144"
LU,572,EPPu,Epping,Station entry / exit,Relate,"6,224",0,"4,582","2,658","6,449",0,"4,216","2,584","3,778,082"
LU,574,EUSu,Euston LU,Station entry / exit,Relate,"65,497",0,"52,450","43,900","64,044",0,"51,259","39,268","40,735,345"
LU,575,ESQu,Euston Square,Station entry / exit,Relate,"24,492",0,"8,086","6,749","24,727",0,"8,805","6,752","13,495,131"
LU,576,FLPu,Fairlop,Station entry / exit,Relate,"2,081",0,"1,394",856,"1,878",0,"1,298",821,"1,179,427"
LU,577,FARu,Farringdon,Station entry / exit,Relate,"36,844",0,"7,931","4,687","37,094",0,"9,088","4,550","19,325,838"
LU,578,FYCu,Finchley Central,Station entry / exit,Relate,"12,024",0,"7,238","4,118","11,680",0,"6,401","4,266","6,859,802"
LU,579,FRDu,Finchley Road,Station entry / exit,Relate,"15,534",0,"11,037","7,909","14,715",0,"9,443","7,514","9,134,559"
LU,580,FPKu,Finsbury Park,Station entry / exit,Relate,"52,152",0,"41,968","25,405","45,232",0,"30,510","22,325","29,633,479"
LU,581,FBYu,Fulham Broadway,Station entry / exit,Relate,"15,310",0,"12,139","6,951","15,025",0,"10,125","6,572","9,149,885"
LU,582,GHLu,Gants Hill,Station entry / exit,Relate,"11,215",0,"7,326","4,905","10,582",0,"6,971","4,806","6,491,292"
LU,583,GRDu,Gloucester Road,Station entry / exit,Relate,"21,724",0,"16,396","13,126","20,559",0,"15,425","12,030","13,100,020"
LU,584,GGRu,Golders Green,Station entry / exit,Relate,"13,364",0,"9,191","7,249","12,928",0,"8,432","7,027","7,973,435"
LU,585,GHRu,Goldhawk Road,Station entry / exit,Relate,"3,519",0,"2,330","1,476","3,313",0,"2,122","1,576","2,033,590"
LU,586,GSTu,Goodge Street,Station entry / exit,Relate,"12,987",0,"6,054","3,560","12,624",0,"6,194","3,352","7,185,458"
LU,587,GRHu,Grange Hill,Station entry / exit,Relate,"1,213",0,572,278,"1,085",0,488,281,"639,841"
LU,588,GPSu,Great Portland Street,Station entry / exit,Relate,"14,519",0,"5,020","3,281","13,985",0,"4,835","2,775","7,732,903"
LU,590,GPKu,Green Park,Station entry / exit,Relate,"58,814",0,"35,126","25,470","67,897",0,"42,800","29,244","37,397,425"
LU,589,GFDu,Greenford,Station entry / exit,Relate,"7,635",0,"4,982","3,143","7,453",0,"4,611","3,040","4,452,187"
LU,591,GUNu,Gunnersbury,Station entry / exit,Relate,"10,367",0,"4,110","2,691","9,408",0,"3,557","2,454","5,451,362"
LU,592,HAIu,Hainault,Station entry / exit,Relate,"6,373",0,"3,865","2,438","6,002",0,"3,553","2,430","3,619,745"
LU,593,HMDu,Hammersmith (DIS),Station entry / exit,Relate,"47,068",0,"31,449","22,271","45,894",0,"30,229","21,442","27,831,099"
LU,773,HMSu,Hammersmith (H&C),Station entry / exit,Relate,"18,267",0,"10,832","7,344","16,945",0,"10,088","7,076","10,318,281"
LU,594,HMPu,Hampstead,Station entry / exit,Relate,"7,192",0,"5,531","4,827","7,223",0,"5,740","5,349","4,564,741"
LU,595,HLNu,Hanger Lane,Station entry / exit,Relate,"6,547",0,"3,994","2,691","6,086",0,"3,537","2,478","3,702,916"
LU,596,HARu,Harlesden,Station entry / exit,Relate,"5,321",0,"3,066","2,039","5,172",0,"2,903","1,995","3,049,018"
LU,597,HAWu,Harrow & Wealdstone,Station entry / exit,Relate,"8,496",0,"4,650","3,093","7,332",0,"4,465","2,929","4,601,592"
LU,598,HOHu,Harrow-on-the-Hill,Station entry / exit,Relate,"16,908",0,"11,329","7,711","18,067",0,"11,531","7,995","10,417,901"
LU,779,HTXu,Hatton Cross,Station entry / exit,Relate,"5,026",0,"3,758","3,016","4,737",0,"3,613","2,987","3,035,400"
LU,780,HRCu,Heathrow Terminals 123 LU,Station entry / exit,Relate,"11,347",0,"12,041","12,845","9,606",0,"9,810","10,471","7,318,073"
LU,781,HRFu,Heathrow Terminal 4 LU,Station entry / exit,Relate,"3,253",0,"3,419","3,494","2,885",0,"3,391","2,989","2,146,778"
LU,783,HRVu,Heathrow Terminal 5 LU,Station entry / exit,Relate,"6,659",0,"6,383","7,743","5,700",0,"5,191","5,919","4,247,920"
LU,601,HNDu,Hendon Central,Station entry / exit,Relate,"13,207",0,"7,560","5,685","12,181",0,"6,560","5,278","7,420,133"
LU,602,HBTu,High Barnet,Station entry / exit,Relate,"7,311",0,"4,031","2,518","6,820",0,"3,525","2,497","4,062,201"
LU,605,HSTu,High Street Kensington,Station entry / exit,Relate,"20,170",0,"14,260","10,213","19,963",0,"13,917","9,172","12,115,781"
LU,603,HBYu,Highbury & Islington,Station entry / exit,Relate,"31,198",0,"24,555","15,276","30,890",0,"23,441","16,720","19,056,704"
LU,604,HIGu,Highgate,Station entry / exit,Relate,"9,839",0,"6,257","4,118","8,948",0,"5,772","4,272","5,581,536"
LU,606,HDNu,Hillingdon,Station entry / exit,Relate,"3,193",0,"2,169","1,112","2,686",0,"1,687","1,007","1,726,384"
LU,607,HOLu,Holborn,Station entry / exit,Relate,"51,101",0,"28,823","17,598","56,804",0,"31,315","18,187","31,015,758"
LU,608,HPKu,Holland Park,Station entry / exit,Relate,"6,091",0,"3,888","2,601","5,447",0,"3,879","2,663","3,451,841"
LU,609,HRDu,Holloway Road,Station entry / exit,Relate,"10,836",0,"7,498","5,453","10,473",0,"6,944","5,466","6,438,237"
LU,610,HCHu,Hornchurch,Station entry / exit,Relate,"3,723",0,"2,269","1,042","3,705",0,"2,299","1,061","2,138,383"
LU,611,HNCu,Hounslow Central,Station entry / exit,Relate,"6,080",0,"4,252","3,022","6,423",0,"4,073","2,929","3,748,113"
LU,612,HNEu,Hounslow East,Station entry / exit,Relate,"5,988",0,"4,804","3,609","6,305",0,"4,905","3,678","3,829,625"
LU,613,HNWu,Hounslow West,Station entry / exit,Relate,"5,414",0,"4,253","3,387","5,191",0,"4,160","3,406","3,330,306"
LU,614,HPCu,Hyde Park Corner,Station entry / exit,Relate,"7,515",0,"7,654","6,368","8,292",0,"7,400","6,454","5,218,249"
LU,615,ICKu,Ickenham,Station entry / exit,Relate,"1,912",0,"1,170",621,"1,958",0,"1,146",654,"1,119,734"
LU,616,KENu,Kennington,Station entry / exit,Relate,"8,942",0,"6,777","4,709","8,177",0,"6,390","4,843","5,286,728"
