X,Y,Name
-0.335231166,51.59220883,Harrow & Wealdstone
-0.337015904,51.57932887,Harrow on the Hill
-0.452439131,51.47121921,"Heathrow Terminals 1, 2, 3"
-0.021744065,51.50306792,Heron Quays
-0.00948951,51.48667164,Island Gardens
-0.224716965,51.53045767,Kensal Green
-0.210382523,51.49780917,Kensington (Olympia)
-0.317164406,51.58178846,Kenton
-0.285252328,51.47702993,Kew Gardens
-0.123857948,51.53039724,King's Cross St. Pancras
-0.014706587,51.46607454,Lewisham
-0.039712577,51.51249852,Limehouse
-0.015091215,51.49036418,Mudchute
-0.032594571,51.4766742,New Cross
-0.040299579,51.47533738,New Cross Gate
-0.304155735,51.56249029,North Wembley
-0.017228774,51.50748844,Poplar
0.033295485,51.50932067,Prince Regent
-0.013174228,51.53440084,Pudding Mill Lane
-0.20470409,51.5341009,Queen's Park
-0.301754218,51.46315964,Richmond
0.046216594,51.50819634,Royal Albert
0.018078557,51.50906211,Royal Victoria
-0.226305459,51.50556087,Shepherd's Bush Central
-0.226305459,51.50556087,Shepherd's Bush Hammersmith & City
-0.308588675,51.57017169,South Kenton
-0.019101694,51.50053201,South Quay
-0.134183744,51.49934546,St. James's Park
-0.174172356,51.53456452,St. John's Wood
-0.097573654,51.5148013,St. Paul's
-0.275409248,51.54392229,Stonebridge Park
-0.074530961,51.51056664,Tower Gateway
-0.296859445,51.55232997,Wembley Central
-0.020148081,51.50663844,West India Quay
-0.025791956,51.50943178,Westferry
-0.244288895,51.5321915,Willesden Junction
-0.206381587,51.42138372,Wimbledon
