NLC,Station,en/ex
6877,Gidea Park,2393978
6878,Goodmayes,3481761
6879,Harold Wood,2495901
6881,Ilford,7987556
6965,Liverpool Street NR,15999583
6883,Manor Park,2120086
6970,Maryland,1283840
6886,Romford,7808711
6893,Seven Kings,3030081
6888,Shenfield,1724799
719,Stratford,27282075
